MA_LUAT,TEN_QUY_TAC,DIEU_KIEN,CANH_BAO,TRANG_THAI
THUOC_53,[Atropin sulfat] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.96' AND (XML1.MA_BENH_CHINH IN ('K56', 'N40', 'H40') OR XML1.MA_BENH_KT REGEXP 'K56|N40|H40')","⛔ [NGUY HIỂM]: Chống chỉ định cho Liệt ruột (K56), Phì đại tuyến tiền liệt (N40), Glaucom (H40).",ON
THUOC_57,[Azithromycin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.219' AND (XML1.MA_BENH_CHINH IN ('K72', 'Z88.2') OR XML1.MA_BENH_KT REGEXP 'K72|Z88\.2')",⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy gan nặng (K72) hoặc Dị ứng Macrolid (Z88.2).,ON
THUOC_60,[Bacillus clausii] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.719' AND (XML1.MA_BENH_CHINH IN ('K56') OR XML1.MA_BENH_KT REGEXP 'K56'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Tắc ruột (K56).,ON
THUOC_62,[Bacillus subtilis] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.718' AND (XML1.MA_BENH_CHINH IN ('K56') OR XML1.MA_BENH_KT REGEXP 'K56'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Tắc ruột (K56).,ON
THUOC_65,[Betahistin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.899' AND (XML1.MA_BENH_CHINH IN ('K25', 'K26', 'J45') OR XML1.MA_BENH_KT REGEXP 'K25|K26|J45')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Loét dạ dày tiến triển (K25, K26) hoặc Hen phế quản (J45).",ON
THUOC_71,[Bromhexin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.989' AND (XML1.MA_BENH_CHINH IN ('K25', 'K26') OR XML1.MA_BENH_KT REGEXP 'K25|K26')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Loét dạ dày tiến triển (K25, K26).",ON
THUOC_75,"[Budesonid, Formoterol] Chống chỉ định lâm sàng","XML2.MA_THUOC == '40.762' AND (XML1.MA_BENH_CHINH IN ('I47', 'I48') OR XML1.MA_BENH_KT REGEXP 'I47|I48')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân có Rối loạn nhịp tim nhanh (I47, I48).",ON
THUOC_81,[Carvedilol] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.497' AND (XML1.MA_BENH_CHINH IN ('J45', 'I44.1', 'I44.2', 'R00.1', 'K72') OR XML1.MA_BENH_KT REGEXP 'J45|I44\.1|I44\.2|R00\.1|K72')","⛔ [NGUY HIỂM]: Chống chỉ định cho bệnh nhân Hen phế quản (J45), Block tim/Nhịp chậm (I44, R00.1), Suy gan (K72).",ON
THUOC_84,[Cefazolin] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.166' AND (XML1.MA_BENH_CHINH IN ('Z88.1') OR XML1.MA_BENH_KT REGEXP 'Z88\.1'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân có tiền sử Dị ứng Cephalosporin (Z88.1).,ON
THUOC_88,[Cefdinir] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.167' AND (XML1.MA_BENH_CHINH IN ('Z88.1') OR XML1.MA_BENH_KT REGEXP 'Z88\.1'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân có tiền sử Dị ứng Cephalosporin (Z88.1).,ON
THUOC_91,[Cefixim] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.169' AND (XML1.MA_BENH_CHINH IN ('Z88.1') OR XML1.MA_BENH_KT REGEXP 'Z88\.1'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân có tiền sử Dị ứng Cephalosporin (Z88.1).,ON
THUOC_94,[Cefpodoxim] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.177' AND (XML1.MA_BENH_CHINH IN ('Z88.1') OR XML1.MA_BENH_KT REGEXP 'Z88\.1'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân có tiền sử Dị ứng Cephalosporin (Z88.1).,ON
THUOC_97,[Celecoxib] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.28' AND (XML1.MA_BENH_CHINH IN ('K25', 'K26', 'I50', 'I21', 'J45') OR XML1.MA_BENH_KT REGEXP 'K25|K26|I50|I21|J45')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Loét dạ dày (K25), Suy tim (I50), NMCT cấp (I21), Hen (J45).",ON
THUOC_101,[Cetirizin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.79' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy thận nặng (N18.4, N18.5).",ON
THUOC_103,[Cinnarizin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.80' AND (XML1.MA_BENH_CHINH IN ('G20', 'O21') OR XML1.MA_BENH_KT REGEXP 'G20|O21')",⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Parkinson (G20) hoặc Phụ nữ có thai (O21).,ON
THUOC_106,[Clindamycin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.217' AND (XML1.MA_BENH_CHINH IN ('A04.7', 'K52.9') OR XML1.MA_BENH_KT REGEXP 'A04\.7|K52\.9')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân có tiền sử Viêm đại tràng màng giả (A04.7, K52.9).",ON
THUOC_109,[Clopidogrel] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.540' AND (XML1.MA_BENH_CHINH IN ('I60', 'K25', 'K26', 'R58', 'K92.2') OR XML1.MA_BENH_KT REGEXP 'I60|K25|K26|R58|K92\.2')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho Xuất huyết nội sọ (I60), Loét tiêu hóa đang chảy máu (K25, K92.2).",ON
THUOC_112,[Clotrimazol] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.593' AND (XML1.MA_BENH_CHINH IN ('Z88.8') OR XML1.MA_BENH_KT REGEXP 'Z88\.8'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân có tiền sử dị ứng thuốc chống nấm (Z88.8).,ON
THUOC_115,[Colchicin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.61' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5', 'K72') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5|K72')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy thận/gan nặng (N18.4, N18.5, K72).",ON
THUOC_118,[Desloratadin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.82' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc cần thận trọng hoặc chống chỉ định cho bệnh nhân Suy thận nặng (N18.4, N18.5).",ON
THUOC_122,[Diacerein] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.63' AND (XML1.MA_BENH_CHINH IN ('K70', 'K71', 'K72') OR XML1.MA_BENH_KT REGEXP 'K70|K71|K72')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân có Bệnh lý gan tiến triển (K70, K71, K72).",ON
THUOC_125,[Diệp hạ châu đắng...] Chống chỉ định lâm sàng,XML2.MA_THUOC == '05C.28.2' AND (XML1.MA_BENH_CHINH IN ('O21') OR XML1.MA_BENH_KT REGEXP 'O21'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Phụ nữ có thai (O21).,ON
THUOC_127,[Diosmectit] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.722' AND (XML1.MA_BENH_CHINH IN ('K56') OR XML1.MA_BENH_KT REGEXP 'K56'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Tắc ruột (K56).,ON
THUOC_130,[Diosmin; Hesperidin] Chống chỉ định,XML2.MA_THUOC == '40.736' AND (XML1.MA_BENH_CHINH IN ('O21') OR XML1.MA_BENH_KT REGEXP 'O21'),⛔ [NGUY HIỂM]: Cần thận trọng ở Phụ nữ có thai (O21).,ON
THUOC_134,[Diphenhydramin] Chống chỉ định,"XML2.MA_THUOC == '40.84' AND (XML1.MA_BENH_CHINH IN ('J45', 'N40', 'H40') OR XML1.MA_BENH_KT REGEXP 'J45|N40|H40')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho Hen (J45), Phì đại tiền liệt tuyến (N40), Glaucom (H40).",ON
THUOC_138,[Domperidon] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.688' AND (XML1.MA_BENH_CHINH IN ('K56', 'K92.2', 'K72') OR XML1.MA_BENH_KT REGEXP 'K56|K92\.2|K72')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Tắc ruột (K56), Xuất huyết tiêu hóa (K92.2) hoặc Suy gan nặng (K72).",ON
THUOC_144,[Eperison HCl] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.829' AND (XML1.MA_BENH_CHINH IN ('G70') OR XML1.MA_BENH_KT REGEXP 'G70'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Nhược cơ (G70).,ON
THUOC_149,[Esomeprazol] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.678' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Cần hiệu chỉnh liều hoặc chống chỉ định cho bệnh nhân có chẩn đoán Suy thận nặng (N18.4, N18.5).",ON
THUOC_152,[Etifoxin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.934' AND (XML1.MA_BENH_CHINH IN ('K72', 'G70', 'N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'K72|G70|N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy gan/thận nặng (K72, N18.4) hoặc Nhược cơ (G70).",ON
THUOC_155,[Etoricoxib] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.33' AND (XML1.MA_BENH_CHINH IN ('K25', 'K26', 'I50', 'I21') OR XML1.MA_BENH_KT REGEXP 'K25|K26|I50|I21')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Loét dạ dày (K25, K26), Suy tim (I50) hoặc Nhồi máu cơ tim (I21).",ON
THUOC_159,[Famotidin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.666' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy thận nặng (N18.4, N18.5).",ON
THUOC_163,[Felodipin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.502' AND (XML1.MA_BENH_CHINH IN ('I95.1', 'O21', 'I21') OR XML1.MA_BENH_KT REGEXP 'I95\.1|O21|I21')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho Nhồi máu cơ tim (I21), Phụ nữ có thai (O21) hoặc Hạ huyết áp (I95.1).",ON
THUOC_166,[Fenofibrat] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.553' AND (XML1.MA_BENH_CHINH IN ('K71', 'K72', 'N18.4', 'N18.5', 'K80') OR XML1.MA_BENH_KT REGEXP 'K71|K72|N18\.4|N18\.5|K80')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Bệnh gan/thận nặng, hoặc Bệnh sỏi mật (K80).",ON
THUOC_170,[Fexofenadin hydroclorid] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.87' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy thận nặng (N18.4, N18.5).",ON
THUOC_173,[Fluconazol] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.288' AND (XML1.MA_BENH_CHINH IN ('K72', 'N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'K72|N18\.4|N18\.5')",⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy gan nặng (K72) hoặc Suy thận nặng (N18.4).,ON
THUOC_176,[Flunarizin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.336' AND (XML1.MA_BENH_CHINH IN ('G20', 'F32', 'O21') OR XML1.MA_BENH_KT REGEXP 'G20|F32|O21')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Parkinson (G20), Tiền sử trầm cảm (F32), Phụ nữ có thai (O21).",ON
THUOC_183,[Furosemid] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.659' AND (XML1.MA_BENH_CHINH IN ('K72', 'N17', 'E87.6') OR XML1.MA_BENH_KT REGEXP 'K72|N17|E87\.6')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho Suy gan nặng (K72), Suy thận vô niệu (N17), Hạ Kali máu (E87.6).",ON
THUOC_186,[Gabapentin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.132' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc cần thận trọng hoặc chống chỉ định cho bệnh nhân Suy thận nặng (N18.4, N18.5).",ON
THUOC_195,[Gliclazid] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.800' AND (XML1.MA_BENH_CHINH IN ('E10', 'E16.2', 'N18.4', 'N18.5', 'K72', 'O21') OR XML1.MA_BENH_KT REGEXP 'E10|E16\.2|N18\.4|N18\.5|K72|O21')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho ĐTĐ Tuýp 1 (E10), Suy thận nặng, Suy gan nặng, Có thai (O21), Hạ đường huyết (E16.2).",ON
THUOC_197,[Glimepiride] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.801' AND (XML1.MA_BENH_CHINH IN ('E10', 'E16.2', 'N18.4', 'N18.5', 'K72', 'O21') OR XML1.MA_BENH_KT REGEXP 'E10|E16\.2|N18\.4|N18\.5|K72|O21')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho ĐTĐ Tuýp 1 (E10), Hạ đường huyết (E16.2), Suy gan/thận nặng, Có thai.",ON
THUOC_201,[Glucosamin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.64' AND (XML1.MA_BENH_CHINH IN ('E11', 'O21') OR XML1.MA_BENH_KT REGEXP 'E11|O21')",⛔ [NGUY HIỂM]: Cần thận trọng/chống chỉ định cho bệnh nhân Đái tháo đường (E11) hoặc Có thai (O21).,ON
THUOC_206,"[Húng chanh, Núc nác, Cineol] Chống chỉ định lâm sàng",XML2.MA_THUOC == '05C.150' AND (XML1.MA_BENH_CHINH IN ('O21') OR XML1.MA_BENH_KT REGEXP 'O21'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Phụ nữ có thai (O21).,ON
THUOC_208,[Hyoscin N – butylbromid] Chống chỉ định,"XML2.MA_THUOC == '40.698' AND (XML1.MA_BENH_CHINH IN ('N40', 'H40', 'I47') OR XML1.MA_BENH_KT REGEXP 'N40|H40|I47')","⛔ [NGUY HIỂM]: Chống chỉ định cho Phì đại tuyến tiền liệt (N40), Glaucom (H40), Nhịp nhanh (I47).",ON
THUOC_212,[Ibuprofen] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.37' AND (XML1.MA_BENH_CHINH IN ('K25', 'K26', 'J45', 'R58', 'O21') OR XML1.MA_BENH_KT REGEXP 'K25|K26|J45|R58|O21')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Loét dạ dày (K25, K26), Hen phế quản (J45), Xuất huyết (R58) hoặc Có thai (O21).",ON
THUOC_215,[Insulin glargine] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.806' AND (XML1.MA_BENH_CHINH IN ('E16.2') OR XML1.MA_BENH_KT REGEXP 'E16\.2'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân đang trong cơn Hạ đường huyết (E16.2).,ON
THUOC_217,[Isosorbid mononitrat] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.479' AND (XML1.MA_BENH_CHINH IN ('I95.1', 'I21', 'R57') OR XML1.MA_BENH_KT REGEXP 'I95\.1|I21|R57')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Hạ huyết áp (I95.1), Nhồi máu cơ tim cấp (I21), Sốc (R57).",ON
THUOC_220,[Kali chloride] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.567' AND (XML1.MA_BENH_CHINH IN ('E87.5', 'N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'E87\.5|N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định tuyệt đối cho bệnh nhân Tăng Kali máu (E87.5) hoặc Suy thận nặng (N18.4, N18.5).",ON
THUOC_224,[Kẽm gluconat] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.725' AND (XML1.MA_BENH_CHINH IN ('E83.0') OR XML1.MA_BENH_KT REGEXP 'E83\.0'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Rối loạn chuyển hóa kẽm/đồng (E83.0).,ON
THUOC_227,[Ketoprofen] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.38' AND (XML1.MA_BENH_CHINH IN ('L20', 'L23', 'K25', 'K26') OR XML1.MA_BENH_KT REGEXP 'L20|L23|K25|K26')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Viêm da dị ứng (L20, L23) hoặc Loét dạ dày (K25, K26).",ON
THUOC_230,[Ketorolac] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.39' AND (XML1.MA_BENH_CHINH IN ('K25', 'K26', 'N18.4', 'N18.5', 'R58', 'O21') OR XML1.MA_BENH_KT REGEXP 'K25|K26|N18\.4|N18\.5|R58|O21')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Loét dạ dày (K25, K26), Suy thận nặng (N18.4, N18.5), Xuất huyết (R58) hoặc Phụ nữ có thai (O21).",ON
THUOC_232,[L-Ornithin - L- aspartat] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.747' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy thận nặng (N18.4, N18.5).",ON
THUOC_234,"[Lá sen,Vông nem...] Chống chỉ định lâm sàng",XML2.MA_THUOC == '05C.135.5' AND (XML1.MA_BENH_CHINH IN ('O21') OR XML1.MA_BENH_KT REGEXP 'O21'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Phụ nữ có thai (O21).,ON
THUOC_238,[Lactobacillus acidophilus] Chống chỉ định,XML2.MA_THUOC == '40.726' AND (XML1.MA_BENH_CHINH IN ('K56') OR XML1.MA_BENH_KT REGEXP 'K56'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Tắc ruột (K56).,ON
THUOC_239,[Levocetirizin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.90' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5', 'N18.9') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5|N18\.9')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy thận nặng (N18.4, N18.5, N18.9).",ON
THUOC_241,[Levofloxacin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.229' AND (XML1.MA_BENH_CHINH IN ('Z88.1', 'G40') OR XML1.MA_BENH_KT REGEXP 'Z88\.1|G40')",⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Dị ứng Quinolon (Z88.1) hoặc Tiền sử động kinh (G40).,ON
THUOC_245,[Lidocain] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.12' AND (XML1.MA_BENH_CHINH IN ('I44.1', 'I44.2', 'I44.3') OR XML1.MA_BENH_KT REGEXP 'I44\.1|I44\.2|I44\.3')",⛔ [NGUY HIỂM]: Thuốc chống chỉ định (nếu tiêm bắp/tĩnh mạch) cho bệnh nhân có Block AV độ 2-3 (I44).,ON
THUOC_254,[Meloxicam] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.41' AND (XML1.MA_BENH_CHINH IN ('K25', 'K26', 'N18.4', 'N18.5', 'I50', 'I21') OR XML1.MA_BENH_KT REGEXP 'K25|K26|N18\.4|N18\.5|I50|I21')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Loét dạ dày, Suy thận/tim nặng, NMCT (K25, K26, N18.4, I50, I21).",ON
